줄, line
밑줄 좍, Underlines jwak
“도와줄까, &quot;Can I help
단체줄넘기, Jump rope organizations
밑줄 좍~, - Underline jwak
▼ 거미줄▼ 거미줄
19줄 반상, 19 lines of porphyritic
좀 뽑아줄께, I&#39;ll get pulled
도 줄어들고, Even fewer
이후 스케줄은, Since the schedule
작국인줄 아냐, No jakguk am
해줄 말 없다, That will not end
둘 줄도 안다, See also two lines
고무줄 급수죠, Elastic&#39;s water supply
대리로 둬줄지, Put to give surrogate
뒷줄은 시상자, Back row is presenter
한 줄 관전기, Line gwanjeongi
나만 그런 줄, Then give your own
내가 도와줄게, I will help you
이만 줄입니다, The twenty line
봐 줄 거에요, Look&#39;ll give
왠 줄 아셔요, Oh WAN line syeoyo
이길줄 몰랐다, I did not know defeat
무슨 줄이냐고요, What line yinyagoyo
샌 줄 알았는데, I thought San
이긴 줄 알았어, Although knew

하늘, sky
인제 하늘내린, The sky fell in Spain
천자는 하늘이다, LP is a heaven
인제 하늘내린 진영, Inje sky fell camp
인제하늘내린 검토실, Inje skies made the layout room
” 인제 하늘내린팀, &quot;The sky fell in Spain Team
대회장 주변의 하늘, The sky around the venue
기세가 하늘을 찌른다, Momentum stabs the sky
하지만 하늘은 파랬다, But the sky is bluer
박지은 인제 하늘내린, Grace Park Inje sky fell
인제 하늘내린팀 우승, Sky Team Championship in Spain fell
인제 하늘내린 파이팅, Fighting the sky fell in Spain
인제 하늘내린 창단식, Inje sky fell changdansik
인제 하늘내린의 검토, Review of the sky fell in Spain
중력은 하늘의 뜻입니다, Gravity is the will of heaven
마른 하늘에 날벼락이다, Nalbyeorak is a dry sky
목소리가 하늘을 찔렀다, Voice pierced the sky
영이 5단 하늘에 한개, May the Spirit in one single sky
잔뜩 찌푸린 도쿄의 하늘, Tokyo bunch of frowning sky
웃음 이는 하늘의 뜻이다, This means laughter in the sky
원성이 하늘을 찌르는구먼, The immunogenicity gumeon stabbing the sky
내가 하늘을 보며 말했다, I said, looking at the sky
인제 하늘내린 현미진 감독, Hyeonmijin director sky fell in Spain
희망하늘 5단 백 뭐하는겨, 5 What are doing back-sky hopes
이 하늘색 옷도 유니폼이다, This is the sky blue jersey dresses.
마른하늘에 날벼락도 유분수, Nalbyeorak also yubunsu a dry sky

년대, &#39;S
1990년대 후반, The late 1990s
1990년대 후반기, The late 1990s
8~90년대는 그랬다, Did the 8-90&#39;s
사진은 작년대회 모습, Photo of Competition last year
90년대 중반이었는데요, The mid-90s favorite celebrities
시절은 1990년대 초반, Time is the early 1990s
2000년대 초의 일이다, 2000 is the second one
원년대회 우승자이기도 하다, It is also the first year winner
작년대회 입상자들 기념촬영, Last year, the tournament runner-up commemorative photo
1970년대 말이라고 했다, The 1970s were weird kind of way
90년대생만 12명에 이른다, Saint amounting to 10 000 people 12 90s
60년대에 돌아가신 큰아버님, Great father died in the 1960s
90년대엔 500단을 넘었다, 90s crossed the Yen 500
1930년대로 추정되는 사진, Photo estimated at 1930
80년대의 정석으로 회귀된다, Is a return to the 80s crystallization
90년대생들의 약진이 놀랍다, This amazing breakthrough of Saint-90s
바둑과 교육은 백년대계입니다, Go and education is one hundred years daegye
한국은 5명이 90년대 생이다, South Korea is the 5 people play 90s
그리운 조·서 맞대결80년대라, Article 80s nostalgia, west matdaegyeol LA
하지만 과연 90년대도 그럴까, But also really geureolkka 90s
1960년대의 한 도전기 장면, Dojeongi one scene of the 1960s
한국은 1940년대 생이 대부분, South Korea is the most saengyi 1940
90년대 중반이면 어떤 시기인가, If the mid-90s What time
90년대는 방송바둑의 황금기였다, 90s was the golden age of broadcasting Go
작년대회 결승전 탕웨이싱 이세돌, Last year&#39;s finals Tang Wei Xing Lee Se-dol

과학, Science
자유는 과학이다, Freedom is the Scientific
여기엔 과학적인, Here yen science
바둑이 과학을 만났다, Badugi met Sciences
19 , 과학의 날 4, 19 Science Day 4
홀짝은과학 18급 영자님, Sipping 18&#39;s English class science
세종 과학예술영재학교 전경, King Sejong Arts Academy foreground
‘두뇌과학’은 융합의 학문이다, &quot;Brain science is the study of fusion
수학강사는 과학 손도 못 대고, Math instructors never touched Science Place
기는과학 1단 수기는 더 어렵지, One scientific group manipulation is more difficult
오창과학단지 바둑클럽 최후의만찬, The Last Supper Club Go quintet Science Park
뉴턴 이라는 과학잡지가 있었어요, The Newton was named Science magazine
자살은 사회과학의 고전적인 주제다, Suicide is a classic theme in the social sciences
첫 번째 답은 장비의 과학화입니다, The first answer is scientific equipment
어릴 때부터 과학에 흥미가 있었다, It was interested in science from an early age
수학·과학 대회 실적도 두드러진다, Mathematics and science is also evident tournament results
참소리축음기 에디슨과학박물관 전경, Chamsori phonograph Edison Science Museum foreground
최근에 나노과학 어쩌구 자주 나오죠, Blah come up so often in recent Nanotechnology
바둑은 수많은 과학자들을 좌절시켰다, Monarch has frustrated many scientists
오창과학단지 바둑클럽 대전여성연맹A, Go quintet Science Park Club A League Women Match
중국 등급제도는 과학적이고 합리적입니다, China is a scientific and rational rating system
‘체스가 과학이면 바둑은 철학이다’라고, He says &quot;If chess is a science and philosophy go &#39;
충암도장생들의 성적은 과학적으로 관리된다, Longevity is also chungam grades of scientific management
기는과학 2단 자식들 선비의 도를 모르는군, Military groups also do not know the child of two science scholar
21세기는 두뇌과학의 시대라고 할 수 있다, 21 intensity may be referred to as the age of neuroscience
사회복지학 사전, 네이버 지식백과 사회과학, Social Work Dictionary, Naver Knowledge Encyclopedia of Social Sciences

자연, nature
남자연구회, Man Research
태백의 자연, Nature of Taebaek
곤지암의 자연, Gonjiam of nature
3자연합인 셈이다, The three-party coalition of Shem
현재 여자연구생 1조, Current research student girl trillion
모든 것이 자연스럽다, Everything is natural
그는 철저한 자연인이다, He is a thoroughly natural
너무 자연스러운 것이다, It will be too smooth
이만하면 자연스러운가요, Is natural yimanhamyeon
역시 여자연구생 1조다, Female graduate students is also one joda
결과는 자연스레 따라온다, The results followed naturally
광고는 너무 부자연스럽다, Ads&#39;m too unnatural
그는 여자연구생 출신이다, He is a former research student girl
여자연구생은 18세 유지, Female researcher maintains 18
하품은 자연스런 현상이다, Yawning is a natural phenomenon
여자연구회는 지금도 있다, Society women are still
저도 자연분만을 원했구요, I wanted a natural childbirth haetguyo
여자연구생들과 방을 쓴다, Woman writes researcher and room
이게 자연스런 단위체계다, This is a natural system of units
감정도 자연스럽게 짙어진다, It is naturally darker emotions
